,Text, predicted sentiment
0,#COVID19 death toll breaches 900-mark in #Odisha ,0
1,"as per this data by @MoHFW_INDIA  #Kerala is at the bottom in recovery rate, and top in active cases (%) . Good thing is the death rate is also the lowest. State reported 3rd most cases yesterday behind #Maharashtra &amp; #Karnataka. #covid #COVID19 #CoronaVirusUpdates  ",0
2,Not anymore..  #COVID19 #lockdown #Ontario #DougFord ,0
3,White House Aids release photos of President #Trump working while being treated for #Covid19  #CovidCaughtTrump ,1
4,"@GovMikeDeWine @LtGovHusted Where is the Prayer Day for all 209,000+ #COVID19  DEAD AMERICANS ???",0
5,"No need to wait for a #vaccine against #covid19, as governments and media claim is desperately needed.  88 international studies, 51 of which peer reviewed, show positive #hydroxychloroquine treatment outcomes!  ",0
6,"The #COVID19 virus will not go away. With 54k new cases in the US and more than 990 dead, we need everyone to please be responsible and wear a mask, social distance and wash your hands PLEASE!  #COVID19 #coronavirus #WearAMask #SocialDistancing",0
7,15 more succumb to #COVID19 in #Odisha; toll breaches 900-mark. Here're details of fresh deaths  ,0
8, right now    Picture from Facebook   #SriLanka #CoronaVirusUpdates #COVID19 ,0
9,Rinse and repeat.   #COVID19 #Event201  #CladeX,0
10,#LoveIsNotTourism #LoveIsEssential #COVID19 #travelban #poetry   Credit : @igneusT ,0
11,"Deputy Director of Narcotics Control Bureau, KPS Malhotra tests positive for #COVID19.",0
12,#COVID19: 'Majority' of UK firms now looking to #AI to bolster their business  via @YahooNews,0
13,All are concerned about their future.  We are also concerned about when will our colleges and universities been opened up? #BREAKING #India #COVID19 #education #reopencollege #students @EduMinOfIndia #reopen_ug_college #Health #healthcare #Trending,0
14,When a Country have a Govt who are full of #COVIDIOTS that preach Cow Urine will save one from #COVID19 ,0
15,Did COVID-19 positive Donald Trump continue meeting people and attending events even after test results?   #DonaldTrump #COVID19 #coronavirus  @realDonaldTrump   ,0
16,"So basically, one man in the entire world ate one single bat, he died, and then everybody followed... I believe that's what the scientists call #COVID19... That's #wild. ",1
17,@briantylercohen @WRBethesda @MSBC @JoyAnnReid @AC360 @kaitlancollins @drsanjaygupta is it protocol that Donald Trump carrying #COVID19  isn't masked at @WRBethesda? @ChrisCuomo,0
